# {"t_start": 1765801489.3571959, "env_id": "Bpp-v0"} 
r,l,t
5.5,15,2572.769805
6.32,13,2575.342803
6.6,14,2578.228413
0.48,3,2578.322411
5.13,17,2581.774477
6.45,11,2583.607478
0.72,3,2583.701478
4.34,16,2587.405174
7.3,13,2589.245863
3.32,13,2591.82884
2.4,13,2593.720518
3.81,12,2596.561172
5.08,12,2598.367172
5.22,18,2601.846461
5.68,19,2605.661789
5.78,19,2608.443786
6.12,16,2611.87243
4.15,12,2613.927448
4.74,15,2616.557092
5.24,15,2619.253787
5.36,20,2623.138131
6.5,12,2625.020763
7.7,15,2627.701442
5.12,18,2631.226107
8.28,20,2635.091283
5.58,15,2637.737575
7.5,14,2640.37955
2.7,12,2642.471552
4.87,16,2645.166554
6.8,12,2647.764577
5.24,13,2649.662565
6.22,18,2653.380572
5.0,9,2655.095555
4.7,12,2656.926575
5.28,13,2659.799577
7.1,17,2662.561572
6.0,12,2665.184552
7.0,18,2667.962571
5.68,15,2670.918551
4.08,20,2674.485552
3.55,10,2676.278554
6.3,17,2679.990553
4.36,15,2682.631553
8.3,19,2685.384552
4.68,14,2688.287551
5.87,16,2690.959225
4.46,11,2693.478224
2.95,6,2694.391226
6.16,13,2696.503245
6.7,13,2699.147251
4.42,12,2700.992224
7.6,16,2704.474245
6.84,15,2707.387225
4.8,14,2709.300225
5.9,10,2711.105244
5.1,18,2714.947251
7.06,16,2717.675245
5.4,21,2721.256245
4.25,11,2724.047229
5.22,14,2725.936245
6.2,19,2729.432229
6.01,17,2733.141227
2.2,9,2734.147243
3.78,12,2736.732249
6.0,16,2739.470224
8.2,12,2741.340225
6.04,15,2744.304248
7.65,15,2746.969249
5.48,11,2749.551225
6.84,27,2754.386162
9.0,13,2757.066897
4.23,11,2758.870879
5.22,18,2761.900677
3.72,13,2764.547305
4.8,15,2767.204299
6.22,16,2770.178617
5.98,17,2773.634636
5.1,10,2775.380651
3.95,8,2776.359616
4.36,11,2778.247322
7.72,25,2783.007626
5.42,14,2785.704309
5.62,17,2789.484965
5.16,17,2792.159998
5.2,17,2794.896649
5.4,10,2796.694683
6.22,15,2799.613315
5.69,14,2802.20263
5.79,19,2805.707294
6.2,15,2808.620225
4.76,19,2812.192954
2.4,10,2813.941692
7.64,23,2817.81699
3.9,19,2821.379291
3.85,12,2823.939927
5.49,22,2827.796602
2.02,8,2829.512917
5.76,12,2831.354594
4.2,10,2833.17128
5.66,18,2836.914937
5.84,20,2840.415232
6.32,16,2843.298901
5.94,16,2845.95327
5.3,11,2847.762944
5.5,11,2849.571592
4.48,13,2852.412953
